ds,y
2023-01-01,177
2023-01-02,199
2023-01-03,211
2023-01-04,225
2023-01-05,200
2023-01-06,201
2023-01-07,198
2023-01-08,187
2023-01-09,200
2023-01-10,216
2023-01-11,202
2023-01-12,202
2023-01-13,214
2023-01-14,151
2023-01-15,155
2023-01-16,204
2023-01-17,198
2023-01-18,219
2023-01-19,202
2023-01-20,195
2023-01-21,207
2023-01-22,182
2023-01-23,220
2023-01-24,198
2023-01-25,212
2023-01-26,223
2023-01-27,204
2023-01-28,195
2023-01-29,181
2023-01-30,220
2023-01-31,216
2023-02-01,253
2023-02-02,226
2023-02-03,211
2023-02-04,207
2023-02-05,177
2023-02-06,232
2023-02-07,200
2023-02-08,211
2023-02-09,234
2023-02-10,243
2023-02-11,201
2023-02-12,197
2023-02-13,229
2023-02-14,212
2023-02-15,224
2023-02-16,229
2023-02-17,252
2023-02-18,208
2023-02-19,176
2023-02-20,243
2023-02-21,233
2023-02-22,229
2023-02-23,249
2023-02-24,256
2023-02-25,220
2023-02-26,194
2023-02-27,237
2023-02-28,247
2023-03-01,257
2023-03-02,236
2023-03-03,241
2023-03-04,192
2023-03-05,191
2023-03-06,257
2023-03-07,265
2023-03-08,244
2023-03-09,261
2023-03-10,251
2023-03-11,201
2023-03-12,217
2023-03-13,270
2023-03-14,247
2023-03-15,271
2023-03-16,209
2023-03-17,260
2023-03-18,214
2023-03-19,208
2023-03-20,250
2023-03-21,219
2023-03-22,246
2023-03-23,255
2023-03-24,272
2023-03-25,206
2023-03-26,202
2023-03-27,242
2023-03-28,264
2023-03-29,255
2023-03-30,242
2023-03-31,258
2023-04-01,215
2023-04-02,229
2023-04-03,239
2023-04-04,245
2023-04-05,244
2023-04-06,228
2023-04-07,254
2023-04-08,218
2023-04-09,214
2023-04-10,246
2023-04-11,228
2023-04-12,243
2023-04-13,244
2023-04-14,237
2023-04-15,211
2023-04-16,219
2023-04-17,277
2023-04-18,251
2023-04-19,252
2023-04-20,247
2023-04-21,219
2023-04-22,211
2023-04-23,212
2023-04-24,283
2023-04-25,243
2023-04-26,250
2023-04-27,245
2023-04-28,228
2023-04-29,227
2023-04-30,220
2023-05-01,256
2023-05-02,230
2023-05-03,264
2023-05-04,222
2023-05-05,251
2023-05-06,240
2023-05-07,191
2023-05-08,232
2023-05-09,242
2023-05-10,232
2023-05-11,216
2023-05-12,240
2023-05-13,188
2023-05-14,210
2023-05-15,223
2023-05-16,260
2023-05-17,224
2023-05-18,230
2023-05-19,247
2023-05-20,181
2023-05-21,203
2023-05-22,252
2023-05-23,208
2023-05-24,234
2023-05-25,235
2023-05-26,242
2023-05-27,177
2023-05-28,175
2023-05-29,236
2023-05-30,232
2023-05-31,230
2023-06-01,231
2023-06-02,215
2023-06-03,195
2023-06-04,195
2023-06-05,212
2023-06-06,250
2023-06-07,228
2023-06-08,202
2023-06-09,229
2023-06-10,172
2023-06-11,198
2023-06-12,235
2023-06-13,204
2023-06-14,230
2023-06-15,221
2023-06-16,226
2023-06-17,210
2023-06-18,177
2023-06-19,200
2023-06-20,197
2023-06-21,197
2023-06-22,208
2023-06-23,213
2023-06-24,180
2023-06-25,188
2023-06-26,206
2023-06-27,226
2023-06-28,200
2023-06-29,244
2023-06-30,211
2023-07-01,158
2023-07-02,154
2023-07-03,207
2023-07-04,195
2023-07-05,208
2023-07-06,204
2023-07-07,195
2023-07-08,153
2023-07-09,142
2023-07-10,187
2023-07-11,205
2023-07-12,195
2023-07-13,172
2023-07-14,193
2023-07-15,166
2023-07-16,146
2023-07-17,190
2023-07-18,188
2023-07-19,169
2023-07-20,190
2023-07-21,193
2023-07-22,172
2023-07-23,170
2023-07-24,161
2023-07-25,167
2023-07-26,188
2023-07-27,187
2023-07-28,186
2023-07-29,208
2023-07-30,158
2023-07-31,193
2023-08-01,190
2023-08-02,185
2023-08-03,169
2023-08-04,185
2023-08-05,134
2023-08-06,142
2023-08-07,164
2023-08-08,172
2023-08-09,205
2023-08-10,141
2023-08-11,179
2023-08-12,117
2023-08-13,134
2023-08-14,183
2023-08-15,167
2023-08-16,149
2023-08-17,154
2023-08-18,174
2023-08-19,127
2023-08-20,141
2023-08-21,163
2023-08-22,152
2023-08-23,193
2023-08-24,170
2023-08-25,130
2023-08-26,137
